@timestamp,message_id,processInstanceId,processCreationTime,processFinishTime,processDuration,numberOfBindingReconfigurations,QoS.Constraints.Performance.ResponseTime,resilienceReactionMeanTime,resilienceDiscoveryMeanTime,resilienceDeploymentMeanTime,resilienceServicesCheckMeanTime
2017-09-02T17:54:59.571Z,RESILIENCE_REACTION,,,,,,,36878,0,0,29882
2017-09-02T18:07:27.222Z,RESILIENCE_REACTION,,,,,,,39595,0,0,33527
2017-09-02T18:05:13.485Z,RESILIENCE_REACTION,,,,,,,38636,0,0,31987
2017-09-02T18:06:20.047Z,RESILIENCE_REACTION,,,,,,,38837,0,0,33279
2017-09-02T18:05:20.491Z,PROCESS_INSTANCE,10,2017-09-02T15:04:58.264-03:00,2017-09-02T15:05:19.195-03:00,20931,0,4000.0,,,,
2017-09-02T18:05:20.803Z,PROCESS_INSTANCE,5,2017-09-02T15:04:32.804-03:00,2017-09-02T15:05:19.476-03:00,46672,0,4000.0,,,,
2017-09-02T18:06:34.692Z,PROCESS_INSTANCE,28,2017-09-02T15:06:30.370-03:00,2017-09-02T15:06:33.411-03:00,3041,0,4000.0,,,,
2017-09-02T18:05:20.475Z,PROCESS_INSTANCE,9,2017-09-02T15:04:53.175-03:00,2017-09-02T15:05:19.158-03:00,25983,0,4000.0,,,,
2017-09-02T18:05:23.314Z,PROCESS_INSTANCE,14,2017-09-02T15:05:18.656-03:00,2017-09-02T15:05:22.031-03:00,3375,0,4000.0,,,,
2017-09-02T18:06:28.378Z,PROCESS_INSTANCE,18,2017-09-02T15:05:39.217-03:00,2017-09-02T15:06:27.085-03:00,47868,0,4000.0,,,,
2017-09-02T18:07:33.953Z,PROCESS_INSTANCE,32,2017-09-02T15:06:50.697-03:00,2017-09-02T15:07:32.672-03:00,41975,0,4000.0,,,,
2017-09-02T18:07:33.954Z,PROCESS_INSTANCE,33,2017-09-02T15:06:55.770-03:00,2017-09-02T15:07:32.672-03:00,36902,0,4000.0,,,,
2017-09-02T17:58:26.274Z,PROCESS_INSTANCE,3,2017-09-02T14:58:22.013-03:00,2017-09-02T14:58:24.984-03:00,2971,0,4000.0,,,,
2017-09-02T18:05:18.252Z,PROCESS_INSTANCE,12,2017-09-02T15:05:08.482-03:00,2017-09-02T15:05:16.969-03:00,8487,1,4000.0,,,,
2017-09-02T18:05:20.347Z,PROCESS_INSTANCE,8,2017-09-02T15:04:48.086-03:00,2017-09-02T15:05:19.042-03:00,30956,0,4000.0,,,,
2017-09-02T18:05:38.380Z,PROCESS_INSTANCE,17,2017-09-02T15:05:34.131-03:00,2017-09-02T15:05:37.101-03:00,2970,0,4000.0,,,,
2017-09-02T18:06:28.277Z,PROCESS_INSTANCE,20,2017-09-02T15:05:49.365-03:00,2017-09-02T15:06:26.992-03:00,37627,0,4000.0,,,,
2017-09-02T18:06:29.763Z,PROCESS_INSTANCE,27,2017-09-02T15:06:25.052-03:00,2017-09-02T15:06:28.478-03:00,3426,0,4000.0,,,,
2017-09-02T18:06:39.654Z,PROCESS_INSTANCE,29,2017-09-02T15:06:35.457-03:00,2017-09-02T15:06:38.373-03:00,2916,0,4000.0,,,,
2017-09-02T17:56:59.659Z,PROCESS_INSTANCE,1,2017-09-02T14:56:55.195-03:00,2017-09-02T14:56:58.378-03:00,3183,0,4000.0,,,,
2017-09-02T18:05:20.794Z,PROCESS_INSTANCE,7,2017-09-02T15:04:42.999-03:00,2017-09-02T15:05:19.472-03:00,36473,0,4000.0,,,,
2017-09-02T18:05:33.152Z,PROCESS_INSTANCE,16,2017-09-02T15:05:29.038-03:00,2017-09-02T15:05:31.868-03:00,2830,0,4000.0,,,,
2017-09-02T18:06:28.259Z,PROCESS_INSTANCE,19,2017-09-02T15:05:44.293-03:00,2017-09-02T15:06:26.968-03:00,42675,0,4000.0,,,,
2017-09-02T18:06:28.335Z,PROCESS_INSTANCE,22,2017-09-02T15:05:59.528-03:00,2017-09-02T15:06:27.041-03:00,27513,0,4000.0,,,,
2017-09-02T18:06:28.335Z,PROCESS_INSTANCE,26,2017-09-02T15:06:19.933-03:00,2017-09-02T15:06:27.038-03:00,7105,0,4000.0,,,,
2017-09-02T18:04:31.967Z,PROCESS_INSTANCE,4,2017-09-02T15:04:27.686-03:00,2017-09-02T15:04:30.678-03:00,2992,0,4000.0,,,,
2017-09-02T17:57:33.608Z,PROCESS_INSTANCE,2,2017-09-02T14:57:29.379-03:00,2017-09-02T14:57:32.324-03:00,2945,0,4000.0,,,,
2017-09-02T17:55:04.712Z,PROCESS_INSTANCE,0,2017-09-02T14:54:19.642-03:00,2017-09-02T14:55:03.297-03:00,43655,1,4000.0,,,,
2017-09-02T18:05:20.443Z,PROCESS_INSTANCE,6,2017-09-02T15:04:37.908-03:00,2017-09-02T15:05:19.157-03:00,41249,0,4000.0,,,,
2017-09-02T18:05:20.688Z,PROCESS_INSTANCE,13,2017-09-02T15:05:13.565-03:00,2017-09-02T15:05:19.368-03:00,5803,0,4000.0,,,,
2017-09-02T18:05:27.896Z,PROCESS_INSTANCE,15,2017-09-02T15:05:23.742-03:00,2017-09-02T15:05:26.614-03:00,2872,0,4000.0,,,,
2017-09-02T18:06:28.293Z,PROCESS_INSTANCE,21,2017-09-02T15:05:54.451-03:00,2017-09-02T15:06:27.005-03:00,32554,0,4000.0,,,,
